t_sec,presence,proximity,gaze,sws
1784311861.8,0.50,1.00,1.00,80.0
1784311862.8,0.50,1.00,1.00,80.0
1784311863.8,0.50,1.00,1.00,80.0
1784311864.8,0.50,1.00,1.00,80.0
1784311865.8,0.50,1.00,0.97,79.0
1784311866.8,0.50,1.00,0.83,75.0
1784311867.8,0.50,1.00,0.86,75.7
1784311868.8,0.50,1.00,0.88,76.2
1784311869.8,0.50,1.00,0.89,76.7
1784311870.8,0.50,1.00,0.90,77.0
1784311871.8,0.50,1.00,0.91,77.3
1784311872.8,0.51,1.00,0.90,77.4
1784311873.8,0.54,1.00,0.86,77.6
1784311874.8,0.58,1.00,0.88,79.4
1784311875.8,0.61,0.97,0.88,79.8
1784311876.8,0.63,0.95,0.85,79.3
1784311877.8,0.65,0.93,0.86,80.0
1784311878.8,0.67,0.92,0.87,80.4
1784311879.8,0.69,0.90,0.84,79.9
1784311880.8,0.70,0.89,0.82,79.6
1784311881.8,0.72,0.88,0.83,80.3
1784311882.8,0.73,0.88,0.84,80.8
1784311883.8,0.74,0.87,0.85,81.4
1784311884.8,0.75,0.86,0.86,81.8
1784311885.8,0.76,0.86,0.86,82.0
1784311886.8,0.77,0.85,0.82,81.1
1784311887.8,0.78,0.85,0.81,80.9
1784311888.8,0.79,0.84,0.82,81.4
1784311889.8,0.80,0.84,0.83,81.9
1784311890.8,0.80,0.85,0.83,82.6
1784311891.8,0.82,0.85,0.84,83.4
1784311892.8,0.83,0.85,0.84,84.1
1784311893.8,0.83,0.85,0.84,84.1
1784311894.8,0.83,0.85,0.84,84.1
1784311895.8,0.83,0.85,0.84,84.1
1784311896.8,0.83,0.85,0.84,84.1
1784311897.8,0.83,0.85,0.84,84.1
1784311898.8,0.83,0.85,0.84,84.1
1784311899.8,0.83,0.85,0.84,84.1
1784311900.8,0.83,0.85,0.84,84.1
1784311901.8,0.83,0.85,0.84,84.1
1784311902.8,0.83,0.85,0.84,84.1
1784311903.8,0.81,0.85,0.86,83.8
1784311904.8,0.80,0.85,0.85,82.9
1784311905.8,0.78,0.85,0.85,82.4
1784311906.8,0.76,0.86,0.85,81.8
1784311907.8,0.75,0.87,0.84,81.3
1784311908.8,0.73,0.88,0.84,80.9
1784311909.8,0.71,0.89,0.86,81.1
1784311910.8,0.70,0.90,0.88,81.2
1784311911.8,0.68,0.91,0.88,80.7
1784311912.8,0.66,0.92,0.87,80.3
1784311913.8,0.65,0.93,0.87,79.8
1784311914.8,0.63,0.94,0.87,79.4
1784311915.8,0.61,0.95,0.87,79.1
1784311916.8,0.60,0.96,0.89,79.6
1784311917.8,0.58,0.98,0.91,79.9
1784311918.8,0.56,0.99,0.91,79.6
